source_id,citation,constant,bound_type,bound_low,bound_high,observed_value,bound_as_fraction,life_criterion,tier,variation,methodology,confidence,contested_by,notes
4,Carr & Rees 1979,alpha_G,upper,-,5.9e-36,5.9e-39,"α_G ≲ 5.9e-36 (= 10³ × observed)",Minimum stellar mass for hydrogen fusion,2,OaA,Analytic scaling of minimum stellar mass,Moderate,None,"α_G up to 5.9e-36 (∼10⁹ × observed)"
4,Carr & Rees 1979,alpha_G,lower,5.9e-45,-,5.9e-39,"α_G ≳ 5.9e-45 (= 10⁻⁶ × observed)",Jeans mass permits gravitational collapse,2,OaA,"Analytic — maximum Jeans mass",Weak,None,"Most permissive bound; α_G down to 5.9e-45"
19,Adams 2019,alpha_G,two-sided,5.9e-40,5.9e-38,5.9e-39,"α_G ∈ [5.9e-40, 5.9e-38] = factor 10",Stellar lifetime > 1 Gyr,2,OaA,"Main-sequence stellar evolution models",Moderate,None,"Narrower than Carr & Rees (factor 10 vs 10³⁻⁴); updates with modern codes"
19,Adams 2019,alpha_G,two-sided,5.9e-41,5.9e-37,5.9e-39,"α_G ∈ [5.9e-41, 5.9e-37] = factor 100",Heavy element production via supernovae,3,OaA,"Core collapse models with varied G",Weak,None,"Indirect mapping from α_G to iron production; alternative pathways possible"
15,Agrawal et al. 1998,vev_over_Mpl,two-sided,1e-18,5e-17,2e-17,"v/M_Pl ∈ [10⁻¹⁸, 5×10⁻¹⁷]",BBN produces both p and n; pp-chain works,2,OaA,"SM with varied Higgs vev; BBN, weak rates, pp-chain, triple-alpha",Moderate,"16 (Harnik et al. 2006: weakless universe)","Observed value is typical within window; nuclear binding re-evaluated"
15,Agrawal et al. 1998,vev_over_Mpl,lower,1e-18,-,2e-17,"v/M_Pl > ~10⁻¹⁸",pp-chain first step (weak interaction),2,OaA,"Stellar structure with varied weak rates",Moderate,"16 (Harnik et al. 2006)","If v is too small, weak interactions too strong"
15,Agrawal et al. 1998,vev_over_Mpl,upper,-,5e-17,2e-17,"v/M_Pl < ~5×10⁻¹⁷",BBN n/p ratio,1,OaA,"BBN calculations with varied v",Moderate,"16 (Harnik et al. 2006)","If v is too large, weak interactions too weak"
14,Hogan 2000 (citing Agrawal),vev_over_Mpl,lower,1.8e-17,-,2e-17,"v/M_Pl > 0.9 × observed",Carbon production via triple-alpha,3,OaA,Derived from Agrawal triple-alpha calculations,Weak,"16 (Harnik et al. 2006)","Stricter than Tier 1/2 Agrawal bounds; derived not independent calculation"
16,Harnik et al. 2006,vev_over_Mpl,no_constraint,-,-,2e-17,"No constraint — weakless universe viable",Any stable nuclei; some stellar energy,1-3,OaA,"SM without weak force; alternative fusion pathways",Weak,"15 (Agrawal: pp-chain constraints), contested assumptions","Weak interaction removed entirely; alternative fusion assumed"
5,Weinberg 1987,cosmological_constant,upper,-,1e-118,2e-122,"Λ < 10⁻¹¹⁸ (Planck units)",Galaxy formation (structure formation),2,OaA,"Linear perturbation theory in ΛCDM",Moderate,"18 (Tegmark et al. narrows), 53 (Piran & Jimenez: challenges necessity)",Observed Λ is ~10⁴× below bound; Weinberg doubted anthropic explanation
18,Tegmark et al. 2006,cosmological_constant,upper,-,1e-120,2e-122,"Λ < ~10⁻¹²⁰ (Planck units)",Galaxy formation (Milky-Way-like),2,OaA,N-body simulations with varied Λ,Moderate,"53 (Piran & Jimenez 2023: factor ~100 variation)",Tighter than Weinberg; uses N-body rather than analytic
47,Barnes 2012,cosmological_constant,upper,-,1e-116,2e-122,"Λ < ~10⁻¹¹⁶ (Planck units)",Formation of ANY gravitationally bound structures,2,OaA,Analytic collapse time vs Λ domination,Weak,None,More permissive than Weinberg or Tegmark
53,Piran & Jimenez 2023,cosmological_constant,upper,-,2e-120,2e-122,"Λ varies by factor ~100",Galaxy formation (N-body),2,OaA,N-body simulations with varied Λ,Skeptical,"18 (Tegmark et al. 2006: narrower bounds)","Challenges anthropic prediction of Λ; values within ~100× still allow galaxy formation"
5,Weinberg 1987,cosmological_constant,lower,none,-,2e-122,"No lower bound",Galaxy formation,2,OaA,Linear perturbation theory,Firm,None,"Smaller Λ means later Λ-domination → more structure; universally agreed"
19,Adams 2019,cosmological_constant,lower,none,-,2e-122,"No lower bound",Galaxy formation,2,OaA,Review,Firm,None,"At 0.1× observed Λ, galaxies form more efficiently; confirmed by Adams review"
55,Carroll 2019,general,measure_critique,-,-,-,No well-defined probability measure,NA,NA,Philosophical analysis,NA,49 (Collins 2009),Argues probability over possible universes cannot be defined
50,White 2000,general,ose_critique,-,-,-,Multiverse does not neutralize design evidence,NA,NA,Bayesian analysis,NA,37 (Sober 2003),Multiverse only reduces surprisingness not confirmation
51,Hossenfelder 2018,general,prior_critique,-,-,-,No well-defined prior over constant values,NA,NA,Critical analysis of probability foundations,NA,49 (Collins 2009),Prior problem renders fine-tuning arguments scientifically irrelevant
52,McGrew et al. 2001,general,normalization_critique,-,-,-,Non-normalizable measure for infinite range,NA,NA,Formal probability analysis with measure theory,NA,"49 (Collins 2009), 47 (Barnes 2012): range can be restricted",Infinite range makes fine-tuning probabilities undefined
9,Penrose 1989,initial_conditions,upper,-,1e-123,1,"Phase space 1:10^(10^123)",Low entropy for thermodynamic arrow,2,OaA,Phase space volume estimate,Low,"Assumes uniform measure on phase space — physically unmotivated","Most extreme bound in corpus; measures initial conditions not constants"
,Penrose 1989,entropy,upper,-,1e-123,1,"1:10^(10^123)",Observers require low entropy,2,OaA,Phase space volume,Firm,None,"Most extreme bound in corpus; initial condition not constant"
8,Hoyle 1954,carbon_resonance,prediction,-,-,7.676,"Hoyle state at 7.68 MeV",Carbon production in stars,3,NA,Nuclear reaction theory,Firm,None,"Prediction preceded anthropic framing; foundational for carbon-based fine-tuning"
12,Livio et al. 1989,carbon_resonance,two-sided,-0.06,0.06,7.656,"ΔE_Hoyle within 0.06 MeV",C/O > 0.1 after helium burning,3,OaA,"Stellar nucleosynthesis network with varied Hoyle state energy",Moderate,None,"Hoyle state must lie at 7.596-7.716 MeV for C/O > 0.1"
3,Barrow & Tipler 1986,general,two-sided,-,-,-,Qualitative only — no formal probability,Observers exist (vague),4,OaA,Analytic bounds from atomic and nuclear physics,Low,36 (Earman 1987),Encyclopedic but overreaches with SAP/FAP
,Rees 2000,general,two-sided,-,-,-,Popular survey — no new calculations,Any life (broad),2,OaA,Review,Low,39 (Stenger 2011),Popular synthesis with no new bounds; some numbers not independent
39,Stenger 2011,general,two-sided,-,-,-,"Most constants vary ~10³× (Monte Carlo)",Stable matter + some energy,1,OaA+Simulation,"Monte Carlo sweeps with permissive life criterion",Low,"19 (Adams 2019: oversimplified), 48 (Barnes 2012: permissive)",Life criterion too permissive; ignores coupled variations
20,Grohs & Adams 2019,alpha_s,lower,none,-,0.1179,"No deuterium = still habitable",Stellar energy via gravitational contraction,2,OaA,Stellar evolution models without deuterium,Skeptical,None,"Stars can fuse without deuterium; challenges necessity of αs bound"
24,Damour & Donoghue 2008,alpha_AND_alpha_s,correlation,-,-,0.007297/0.1179,"α-αs correlated in string theory",Not anthropic (correlation analysis),NA,Multi-parameter,String phenomenology,Moderate,None,"Joint variation: narrower or wider effective constraints depending on correlation sign"
37,Sober 2003,general,ose_correction,-,-,-,"P(data|design, OSE) = P(data|chance, OSE) = 1",Observers exist,NA,NA,Bayesian with OSE,NA,"7 (Leslie: firing squad), 49 (Collins: restricted likelihood)",OSE neutralizes likelihood comparison; firing squad analogy contested
40,Lewis & Barnes 2016,general,two-sided,-,-,-,Fine-tuning robust against criticisms,Universe with complexity,2,OaA,Review,Moderate,46 (Hossenfelder: methodology critique),Fine-tuning conclusion robust; explanation is separate question
48,Barnes 2012,general,two-sided,-,-,-,"Bayesian: strong case for fine-tuning",Tiered: physical → chemical → biological,1-4,OaA,"Review + Bayesian with sensitivity analysis on priors",Moderate,"39 (Stenger: uniform priors questioned), 52 (McGrew: normalization)",Most comprehensive Bayesian review; depends on prior assumptions
45,Page 2009,charge_and_mass,two-sided,-,-,"e=1, m_p (GeV)","Consistent with typical life-permitting range",Stars and galaxies form,2,OaA,Bayesian with uniform log prior,Moderate,None,"Proton charge and mass consistent with typical values in life-permitting range"
