candidate,original_family,original_mechanism,normalized_mechanism
C026,language_structure,Symbols cannot be grounded without reference to other symbols. The investigation's terms are ungrounded — they refer to each other in a closed loop.,Symbolic representations cannot be grounded in non-symbolic reference; every grounding attempt produces another symbol requiring grounding.
C027,language_structure,"The grammatical categories available to the investigation (noun, verb, relation, property) force certain patterns. The search for 'first' requires a noun, but the phenomenon may not be a noun.","The grammatical categories available (object, relation, property) force the investigation to find results that fit these categories; a phenomenon that is not an object cannot be found as one."
C028,language_structure,The investigation's statements are both descriptions (constative) and acts (performative). The collapse happens because the description changes what it describes.,"The act of describing changes what is described; the description captures the joint state of describer-and-described, not the described in isolation."
C029,language_structure,"Truth cannot be defined within the language. The investigation's search for 'true primitives' is an attempt to define truth within the system, which Tarski proved impossible.",A language cannot define its own truth predicate; the search for true foundations within the language cannot succeed because the language cannot refer to its own truth.
C030,mathematical_fixed_point,The audit procedure is a continuous function on a complete partial order. Its least fixed point is the recursive dependency structure — the minimal solution to the equation F(x)=x.,"The procedure is a continuous function on an ordered space; its least fixed point is the recursive structure, found by repeated application starting from nothing."
C031,mathematical_fixed_point,"In any Cartesian closed category with a universal property, every endomorphism has a fixed point. The investigation is operating in such a category.","In a system with sufficient structure (Cartesian closure, universal property), every sufficiently regular operation has a fixed point; the recursion is mathematically guaranteed."
C032,mathematical_fixed_point,"The investigation constructs a diagonal argument: 'all explanations are in this list, but this one is not.' The collapse is the diagonal element that cannot be in the list.",The investigation constructs a diagonal argument: any enumerable list of explanations excludes at least one that is defined by its exclusion; the recursion is the diagonal element.
C033,mathematical_fixed_point,The investigation searches for an initial object (simplest foundation) but the system only has terminal objects (infinite regress). The direction of search is wrong.,The search direction (simplest → complex) is opposite to the direction in which structure exists (complex → simplest). The recursion is a search-direction error.
C034,mathematical_fixed_point,The audit procedure is a contraction mapping on the space of statements. Its fixed point is unique and can be found by iteration — which is exactly what the investigation does.,"The procedure is a contraction mapping on the space of statements; iteration converges to its unique fixed point, which is the recursive dependency structure."
C035,mathematical_fixed_point,Provability of a statement from within the system requires the system to already contain it. The search for foundations within the system can only find what the system already assumes.,A system can only prove statements whose prerequisites the system already contains; the search for external foundations cannot terminate because every proof presupposes its conclusion.
C036,category_theoretic,The category of statements and dependencies has no initial object — no statement from which all others uniquely derive. The search for a first statement fails categorically.,The category of statements has no initial object; no statement exists from which all others uniquely derive without circularity.
C037,category_theoretic,"The Yoneda lemma shows that objects in a category are determined by their relationships, not by intrinsic properties. 'What a thing is' IS its web of relations — the recursion IS the object.","What a thing IS is determined entirely by its relationships to other things, not by intrinsic properties; the relational web IS the identity, and recursion is what a closed relational web looks like."
C038,category_theoretic,The free-forgetful adjunction between 'unstructured' and 'structured' categories has a unit that is not injective. Not every structure can be forgotten to a unique unstructured base.,"Not every structured system can be 'forgotten' to a unique unstructured base; the mapping from structured to unstructured is many-to-one, so no unique foundation exists."
C039,category_theoretic,The audit procedure forms a recursive coalgebra. The minimal invariant is the terminal coalgebra — the infinite regress itself. The investigation has found the minimal invariant.,The minimal invariant of the recursive procedure is the terminal coalgebra — the infinite trajectory itself. The recursion IS what is conserved; there is no simpler conserved quantity.
C040,category_theoretic,The audit procedure is a monad: it has a unit (wrapping a statement for audit) and a multiplication (flattening nested audits). The recursion is the monad's Kleisli composition.,The audit procedure forms a monad: wrapping (unit) and flattening (multiplication) are associative and unital; the recursion is the Kleisli composition structure.
C041,dynamical_system,The investigation's trajectory through statement space converges to a strange attractor — the recursive dependency structure. Different starting points all end up at the same attractor.,"The investigation's trajectory through explanation space converges to an attractor; once inside the attractor's basin, all trajectories end in the same structure regardless of starting point."
C042,dynamical_system,"The investigation has crossed a bifurcation point. Before the bifurcation, different phases gave different results. After, all phases converge to the same behavior.",The system crossed a bifurcation point where the qualitative dynamics changed; post-bifurcation behavior converges to a single regime regardless of prior state.
C043,dynamical_system,The investigation has entered a limit cycle. The sequence select→separate→examine→report→select→separate→... is a periodic orbit in the state space of the investigation.,The phase sequence has entered a periodic orbit; the same pattern repeats because the procedure maps its own output back to a previous output.
C044,dynamical_system,"The Lyapunov exponent of the investigation's dynamics changed sign, indicating a transition from exploration to entrapment. The system is now trapped in a basin of attraction.",The dynamics of the investigation changed from exploration (sensitivity to starting conditions) to entrapment (convergence regardless of starting point); a Lyapunov exponent crossed zero.
C045,dynamical_system,The investigation transitioned from a conservative regime (preserving information across phases) to a dissipative regime (losing information). The collapse is energy dissipation.,The investigation transitioned from an information-preserving regime (where processing added information) to a dissipative regime (where processing lost information).
C046,dynamical_system,"The stable and unstable manifolds of the investigation's fixed points intersect chaotically, producing a homoclinic tangle. The recursive structure is the tangle.",Stable and unstable manifolds of the investigation's fixed points intersect chaotically; the recursive structure is the geometric structure of this intersection.
C047,evolutionary,The explanation space has a single fitness peak (self-reference). All evolutionary trajectories converge to this peak. There is no escaping it — it is the global optimum.,"All trajectories in the explanation space converge to a single optimum; no alternative stable states exist, so the investigation cannot escape the recursive attractor."
C048,evolutionary,"The investigation is in an evolutionary trap. Local optimization leads to recursive dependency, and escaping would require crossing a fitness valley (accepting a worse explanation temporarily).",Local optimization leads to a dead end from which escape requires accepting a worse intermediate state; no such acceptance is possible within the investigation's method.
C049,evolutionary,Many candidates are equally fit. The investigation drifts along a neutral network of explanations. The apparent recursion is just drift without selection pressure.,"Multiple candidates are approximately equally fit; the investigation drifts among them without selection pressure, producing the appearance of recursion through indecision."
C050,evolutionary,Long periods of methodological stability (one family dominating) punctuated by rapid transitions. The phase structure IS the punctuation. Self-audit is a mass extinction event.,Long periods of stability in one explanation family are punctuated by rapid transitions to another; the phase structure is the punctuation pattern.
C051,evolutionary,"The investigation must keep running just to stay in the same place. Each new candidate invalidates the previous, but the overall level of understanding does not increase. Running in place.",Each new explanation invalidates the previous without advancing overall understanding; the investigation must keep producing explanations to stay in the same place.
C052,evolutionary,The audit machinery evolved for one purpose (checking detectors) and was exapted for another (auditing itself). The recursive behavior is a spandrel — a byproduct of exaptation.,"A mechanism developed for one purpose (detector auditing) was repurposed for another (self-audit); the recursive behavior is a byproduct of this repurposing, not an intended function."
C053,cognitive,The investigation's methodology (decompose→audit→report) biases it toward finding recursive dependency. A methodology that looked for emergent simplicity would find that instead.,The investigation's procedure (decompose → audit → report) is biased toward finding recursive dependency; a procedure with different bias would find different structure.
C054,cognitive,"The question 'what is first?' can only be answered with an object. If the answer is not an object (but a process, relation, or field), the question forces an infinite search.","The form of the question ('what is first?') demands an answer in the form of an object; if the true answer is not an object, the search for one produces infinite regress."
C055,cognitive,"The investigators (human or AI) may be unable to conceive of alternatives to recursive dependency. The search space is bounded by cognitive architecture, not by the phenomenon.","The investigator cannot conceive of alternatives to recursive dependency; the search space is bounded by cognitive architecture, not by the phenomenon."
C056,cognitive,The problem IS the solution. The recursive dependency structure of the investigation's results is isomorphic to the recursive dependency structure of the problem. The investigation discovers itself.,The problem's structure and the solution's structure are isomorphic; the investigation discovers itself as the solution to its own question.
C057,cognitive,The investigation's goal (finding a foundation) is itself recursive — each foundation requires a deeper foundation. The goal structure guarantees infinite regress regardless of the domain.,"The goal of finding a foundation is itself recursive; each candidate foundation requires a deeper foundation, so the goal structure guarantees infinite regress regardless of domain."
C058,measurement_framework,The act of auditing a statement changes its dependency structure. The investigation cannot observe the 'true' dependencies because observation alters them.,The act of examining a statement changes its dependency structure; the investigation cannot observe 'true' dependencies because observation alters them.
C059,measurement_framework,"The investigation's instruments (detectors, audits, classifiers) have a finite resolution. Below this resolution, all structures appear identical — which is the collapse.","The investigation's instruments have finite resolution; below a threshold, all structures appear identical, producing the appearance of collapse."
C060,measurement_framework,"The set of operations available to the investigation is closed — no new operations can be generated. Every audit uses the same operations on different targets, producing the same kind of result.","The set of available operations is closed under composition; no new operation type can be generated, so every phase produces the same kind of result as every other."
C061,measurement_framework,"There is an uncertainty principle: the more precisely you know a statement's dependencies, the less precisely you know its content, and vice versa. The investigation optimizes one at the expense of the other.","There is a tradeoff: knowing dependencies precisely sacrifices knowledge of content, and vice versa. The investigation has optimized one at the expense of the other, producing apparent emptiness."
C062,measurement_framework,The investigation's measurement of a statement's dependencies collapses the statement's state. The 'collapse' is not a property of the statement — it is a consequence of the measurement.,"The 'collapse' of structure is a consequence of the measurement act, not a property of the measured system; different measurement would produce different apparent structure."
C063,measurement_framework,"No unbiased estimator exists for the quantity 'foundationality.' Every measurement method is biased, and the bias produces apparent recursion. The bias cannot be corrected because the true value is unknown.","No unbiased estimator exists for the quantity being investigated; every measurement method is biased, and the bias pattern produces the appearance of recursion."
C064,unknown,There may be a category of explanation that the investigation cannot formulate because it lacks the necessary conceptual vocabulary. The recursion is a symptom of this blind spot.,The investigation has a blind spot: there exist explanation categories it cannot formulate because it lacks the necessary conceptual vocabulary. The recursion is a symptom of this absence.
C065,unknown,"The explanation may require concepts or mathematics not yet available. The current framework is inadequate, not because the question is unanswerable, but because the tools are insufficient.","The concepts or mathematics required to formulate the correct explanation are not yet available; the framework is inadequate, not the question unanswerable."
C066,unknown,"The phenomenon may be genuinely inexplicable within any possible framework. There are limits to explanation, and the investigation has reached one.",The phenomenon may be genuinely inexplicable within any possible framework; there are limits to explanation and the investigation has reached one.
C067,unknown,The investigation may need to ascend a hierarchy of meta-languages (object→meta→meta-meta→...) and the recursion is the trace of this ascent. Each level is expressible only in the next.,Each explanatory level is expressible only in the next higher level; explanation requires infinite ascent. The recursion is the trace of this ascent.
C068,unknown,"The dependence structure may be non-Archimedean: there exist statements that are infinitely close but not identical, with no finite chain connecting them. Standard audit fails on such structures.","The dependency structure is non-Archimedean: there exist statements infinitely close but not identical, with no finite connecting chain. Standard audit fails on such structures."
C069,unknown,"The investigation may have hit a true contradiction — a dialetheia. The recursive dependency structure is a true paradox that cannot be resolved, only accepted.","The investigation has reached a true contradiction; the recursive dependency IS a dialetheia that cannot be resolved, only accepted."
C070,unknown,"Recursive dependency is not an artifact, a limitation, or a discovery — it IS the phenomenon. The investigation has found what it was looking for but failed to recognize it.","Recursive dependency is not a symptom, artifact, or problem to be solved; it IS the phenomenon the investigation was seeking. The investigation succeeded but failed to recognize success."
