domain,failure,mode,mode_label,type,triggers
C — Recursive substrate,OC2 removal — complete collapse,LP,Loss of persistence — system ceases to exist or maintain structure,Root loss,Single root point; no alternative path to same function
C — Recursive substrate,OC1 removal — partial collapse (3/8 → 5/8 survivors),FR,Fragmentation — parts do not fit together or refer to different domains,Structural fragmentation,OC1 provides structural stability needed by multiple downstream assumptions
C — Recursive substrate,IS1a removal — partial collapse (3/8 → 5/8 survivors),FR,Fragmentation — parts do not fit together or refer to different domains,Functional fragmentation,"IS1a provides dynamic capacity needed by output-production, examination, and knowledge"
C — Recursive substrate,SR1 removal — loss of self-examination only,LG,Loss of generativity — system stops producing novel structures,Generativity loss,SR1 is the only path to self-knowledge (EC1) and self-effects (CD2)
C — Recursive substrate,"Trivial substrate (only OC2, no downstream generation)",CT,"Collapse into triviality — system becomes vacuous, empty, or meaningless",Collapse into triviality,Root without generative capacity; distinguishability without structure to apply it to
C — Recursive substrate,Cycle deadlock (any SCC in dependency graph),CC,Contradiction / inconsistency — internal conflict destroys coherence,Contradiction / cycle,Bidirectional dependency between any two nodes
D — Dynamical manifolds,Fixed-point collapse (trivial attractor),CT,"Collapse into triviality — system becomes vacuous, empty, or meaningless",Collapse into triviality,Dissipation dominates; all energy gradients exhausted
D — Dynamical manifolds,Limit-cycle stagnation (periodic triviality),LG,Loss of generativity — system stops producing novel structures,Generativity bound,Hopf bifurcation with saturation
D — Dynamical manifolds,"Chaotic divergence (butterfly effect, unbounded)",RD,"Runaway divergence — uncontrolled growth, explosion, or infinite regress",Runaway,Positive Lyapunov exponent + unbounded phase space
D — Dynamical manifolds,Stochastic resonance drowning (noise overwhelms signal),LD,Loss of differentiation — everything becomes indistinguishable,Loss of differentiation,Noise amplitude >> signal amplitude; no restoring force
D — Dynamical manifolds,Attractor destruction / crisis,LP,Loss of persistence — system ceases to exist or maintain structure,Structural collapse,Parameter crosses crisis threshold (boundary crisis)
D — Dynamical manifolds,Energy dissipation without replenishment,LP,Loss of persistence — system ceases to exist or maintain structure,Persistence loss,No energy input; friction dominates
D — Dynamical manifolds,Bifurcation cascade to chaos (parameter sensitivity),RD,"Runaway divergence — uncontrolled growth, explosion, or infinite regress",Runaway,Feigenbaum constant δ accumulates; period-doubling at rate ~4.669
D — Dynamical manifolds,Synchronization collapse (oscillator death),LD,Loss of differentiation — everything becomes indistinguishable,Loss of differentiation,Coupling strength too high or mismatched
D — Dynamical manifolds,Turbulence (spatiotemporal chaos without coherent structures),FR,Fragmentation — parts do not fit together or refer to different domains,Fragmentation,High Reynolds number; strong nonlinearity
D — Dynamical manifolds,Hysteresis / irreversibility (loss of return path),LR,"Loss of recoverability — perturbation is permanent, no return to viability",Loss of recoverability,Subcritical bifurcation; first-order transition; bistability
D — Dynamical manifolds,Noise-induced transitions (stochastic escape from attractor),LR,"Loss of recoverability — perturbation is permanent, no return to viability",Loss of recoverability,Noise intensity exceeds potential barrier height
