id,family,short_description,core_mechanism,predicts_recursion,predicts_self_audit,predicts_collapse,confidence
C023,observer_model,Dark room problem,"If the only evidence available is the structure of the investigation itself, the optimal Bayesian explanation is 'nothing exists outside the investigation.' The recursion is a consequence of sensory deprivation.",yes,yes,yes,medium
C024,language_structure,Linguistic relativity (Whorfian),"The language of the investigation (mathematics, formal logic) imposes a structure that appears as 'recursive dependency' but is actually just the grammar of the language. Different languages would find different structures.",yes,no,partial,medium
C025,language_structure,Definitional circularity is grammatical,Every term is defined in terms of other terms. There is no bottom level of definition. The recursion is not a discovery — it is a property of definitional systems.,yes,no,yes,high
C026,language_structure,Semantic grounding problem,Symbols cannot be grounded without reference to other symbols. The investigation's terms are ungrounded — they refer to each other in a closed loop.,yes,yes,yes,high
C027,language_structure,Categorical grammar constraint,"The grammatical categories available to the investigation (noun, verb, relation, property) force certain patterns. The search for 'first' requires a noun, but the phenomenon may not be a noun.",yes,partial,yes,medium
C028,language_structure,Performative-constative collapse,The investigation's statements are both descriptions (constative) and acts (performative). The collapse happens because the description changes what it describes.,no,yes,yes,medium
C029,language_structure,Tarski's undefinability of truth,"Truth cannot be defined within the language. The investigation's search for 'true primitives' is an attempt to define truth within the system, which Tarski proved impossible.",yes,yes,yes,high
C030,mathematical_fixed_point,Kleene fixed-point theorem,The audit procedure is a continuous function on a complete partial order. Its least fixed point is the recursive dependency structure — the minimal solution to the equation F(x)=x.,yes,yes,yes,high
C031,mathematical_fixed_point,Lawvere's fixed-point theorem,"In any Cartesian closed category with a universal property, every endomorphism has a fixed point. The investigation is operating in such a category.",yes,yes,yes,high
C032,mathematical_fixed_point,Cantor diagonalization,"The investigation constructs a diagonal argument: 'all explanations are in this list, but this one is not.' The collapse is the diagonal element that cannot be in the list.",no,yes,yes,high
C033,mathematical_fixed_point,Initial algebra / terminal coalgebra misfit,The investigation searches for an initial object (simplest foundation) but the system only has terminal objects (infinite regress). The direction of search is wrong.,yes,yes,yes,high
C034,mathematical_fixed_point,Banach fixed-point theorem,The audit procedure is a contraction mapping on the space of statements. Its fixed point is unique and can be found by iteration — which is exactly what the investigation does.,yes,yes,yes,medium
C035,mathematical_fixed_point,Löb's theorem,Provability of a statement from within the system requires the system to already contain it. The search for foundations within the system can only find what the system already assumes.,yes,yes,yes,high
C036,category_theoretic,No initial object in the category,The category of statements and dependencies has no initial object — no statement from which all others uniquely derive. The search for a first statement fails categorically.,yes,yes,yes,high
C037,category_theoretic,Yoneda insight: objects are relations,"The Yoneda lemma shows that objects in a category are determined by their relationships, not by intrinsic properties. 'What a thing is' IS its web of relations — the recursion IS the object.",yes,yes,no,high
C038,category_theoretic,Free-forgetful adjunction failure,The free-forgetful adjunction between 'unstructured' and 'structured' categories has a unit that is not injective. Not every structure can be forgotten to a unique unstructured base.,yes,yes,partial,medium
C039,category_theoretic,Recursive coalgebra as minimal invariant,The audit procedure forms a recursive coalgebra. The minimal invariant is the terminal coalgebra — the infinite regress itself. The investigation has found the minimal invariant.,yes,yes,yes,high
C040,category_theoretic,Monad structure of the audit,The audit procedure is a monad: it has a unit (wrapping a statement for audit) and a multiplication (flattening nested audits). The recursion is the monad's Kleisli composition.,yes,yes,no,medium
C041,dynamical_system,Strange attractor in statement space,The investigation's trajectory through statement space converges to a strange attractor — the recursive dependency structure. Different starting points all end up at the same attractor.,yes,yes,yes,high
C042,dynamical_system,Bifurcation cascade,"The investigation has crossed a bifurcation point. Before the bifurcation, different phases gave different results. After, all phases converge to the same behavior.",no,no,yes,medium
C043,dynamical_system,Limit cycle of the audit operator,The investigation has entered a limit cycle. The sequence select→separate→examine→report→select→separate→... is a periodic orbit in the state space of the investigation.,yes,yes,yes,high
C044,dynamical_system,Lyapunov exponent sign change,"The Lyapunov exponent of the investigation's dynamics changed sign, indicating a transition from exploration to entrapment. The system is now trapped in a basin of attraction.",yes,no,yes,low
C045,dynamical_system,Conservative vs dissipative transition,The investigation transitioned from a conservative regime (preserving information across phases) to a dissipative regime (losing information). The collapse is energy dissipation.,no,no,yes,low
C046,dynamical_system,Homoclinic tangle,"The stable and unstable manifolds of the investigation's fixed points intersect chaotically, producing a homoclinic tangle. The recursive structure is the tangle.",yes,yes,yes,low
C047,evolutionary,Single-peaked fitness landscape,The explanation space has a single fitness peak (self-reference). All evolutionary trajectories converge to this peak. There is no escaping it — it is the global optimum.,yes,yes,yes,high
C048,evolutionary,Evolutionary trap / fitness valley,"The investigation is in an evolutionary trap. Local optimization leads to recursive dependency, and escaping would require crossing a fitness valley (accepting a worse explanation temporarily).",yes,yes,yes,high
C049,evolutionary,Neutral network drift,Many candidates are equally fit. The investigation drifts along a neutral network of explanations. The apparent recursion is just drift without selection pressure.,yes,no,partial,medium
C050,evolutionary,Punctuated equilibrium,Long periods of methodological stability (one family dominating) punctuated by rapid transitions. The phase structure IS the punctuation. Self-audit is a mass extinction event.,no,yes,yes,medium
C051,evolutionary,Red Queen effect,"The investigation must keep running just to stay in the same place. Each new candidate invalidates the previous, but the overall level of understanding does not increase. Running in place.",yes,yes,yes,medium
C052,evolutionary,Exaptation of audit machinery,The audit machinery evolved for one purpose (checking detectors) and was exapted for another (auditing itself). The recursive behavior is a spandrel — a byproduct of exaptation.,yes,yes,partial,medium
C053,cognitive,Methodological confirmation bias,The investigation's methodology (decompose→audit→report) biases it toward finding recursive dependency. A methodology that looked for emergent simplicity would find that instead.,yes,yes,yes,high
C054,cognitive,Framing dictates answer type,"The question 'what is first?' can only be answered with an object. If the answer is not an object (but a process, relation, or field), the question forces an infinite search.",yes,yes,yes,high
C055,cognitive,Cognitive closure on non-recursive modes,"The investigators (human or AI) may be unable to conceive of alternatives to recursive dependency. The search space is bounded by cognitive architecture, not by the phenomenon.",yes,yes,yes,high
C056,cognitive,Problem-solution isomorphism,The problem IS the solution. The recursive dependency structure of the investigation's results is isomorphic to the recursive dependency structure of the problem. The investigation discovers itself.,yes,yes,yes,medium
C057,cognitive,Telic recursion,The investigation's goal (finding a foundation) is itself recursive — each foundation requires a deeper foundation. The goal structure guarantees infinite regress regardless of the domain.,yes,yes,yes,high
C058,measurement_framework,Observer effect in statement space,The act of auditing a statement changes its dependency structure. The investigation cannot observe the 'true' dependencies because observation alters them.,yes,yes,yes,high
C059,measurement_framework,Instrument resolution limit,"The investigation's instruments (detectors, audits, classifiers) have a finite resolution. Below this resolution, all structures appear identical — which is the collapse.",yes,yes,yes,high
C060,measurement_framework,Operational closure,"The set of operations available to the investigation is closed — no new operations can be generated. Every audit uses the same operations on different targets, producing the same kind of result.",yes,yes,yes,high
C061,measurement_framework,Heisenberg uncertainty for structure,"There is an uncertainty principle: the more precisely you know a statement's dependencies, the less precisely you know its content, and vice versa. The investigation optimizes one at the expense of the other.",yes,yes,yes,low
C062,measurement_framework,Measurement-induced state collapse,The investigation's measurement of a statement's dependencies collapses the statement's state. The 'collapse' is not a property of the statement — it is a consequence of the measurement.,no,yes,yes,high
C063,measurement_framework,Unbiased estimator does not exist,"No unbiased estimator exists for the quantity 'foundationality.' Every measurement method is biased, and the bias produces apparent recursion. The bias cannot be corrected because the true value is unknown.",yes,yes,yes,medium
C064,unknown,Unknown unknown — blind spot,There may be a category of explanation that the investigation cannot formulate because it lacks the necessary conceptual vocabulary. The recursion is a symptom of this blind spot.,yes,yes,yes,low
C065,unknown,Transcendent explanation,"The explanation may require concepts or mathematics not yet available. The current framework is inadequate, not because the question is unanswerable, but because the tools are insufficient.",yes,yes,yes,low
C066,unknown,Genuine mystery,"The phenomenon may be genuinely inexplicable within any possible framework. There are limits to explanation, and the investigation has reached one.",yes,yes,yes,low
C067,unknown,Meta-language hierarchy,The investigation may need to ascend a hierarchy of meta-languages (object→meta→meta-meta→...) and the recursion is the trace of this ascent. Each level is expressible only in the next.,yes,yes,yes,high
C068,unknown,Non-Archimedean structure,"The dependence structure may be non-Archimedean: there exist statements that are infinitely close but not identical, with no finite chain connecting them. Standard audit fails on such structures.",yes,yes,yes,low
C069,unknown,Paraconsistent resolution,"The investigation may have hit a true contradiction — a dialetheia. The recursive dependency structure is a true paradox that cannot be resolved, only accepted.",yes,yes,yes,low
C070,unknown,Recursive structure is fundamental,"Recursive dependency is not an artifact, a limitation, or a discovery — it IS the phenomenon. The investigation has found what it was looking for but failed to recognize it.",yes,yes,yes,medium
